Unnamed: 0,Type of dwelling,General Zoning,Linear feet of street,Lot size in square feet,Type of Acess Road to Property,General shape of property,Flatness of the property,Utilities,Lot configuration,Slope of property,Neighborhood,Proximity to various conditions,Condition2,BldgType,Style of dwelling,Rates the overall material,Rates the overall condition of the house,Original construction date,YearRemodAdd,Type of roof,Roof material,Exterior covering on the house,Exterior2nd,Masonry veneer area in square feet, Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of Heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,econd-floor square feet,	Low-quality finished square feet,Above ground living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half Bathroom,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,PavedDrive,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,$Value of miscellaneous feature,Month Sold (MM),Year Sold (YYYY),SaleType,SaleCondition,SalePrice
10,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,11200,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Norm,Norm,1Fam,One story,Average,Average,1965,1965,Hip,Standard (Composite) Shingle,Hard Board,HdBoard,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,906,Unfinished,0,134,1040,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1040,0,0,1040,1,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1965.0,Unfinished,1,384,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,Feb,2008,Warranty Deed - Conventional,Normal Sale,129500
11,2-STORY 1946 & NEWER,Residential Low-Density,85,11924,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Norm,Norm,1Fam,Two-story,Excellent,Average,2005,2006,Hip,Standard (Composite) Shingle,Wood Shingles,Wd Shng,286,Ex,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,998,Unfinished,0,177,1175,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1182,1142,0,2324,1,0,3,0,4,1,Excellent,11,Typical Functionality,2,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2005.0,Finished,3,736,Typical/Average,Typical/Average,Paved,147,21,0,0,0,0,No,No,No,0,Jul,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),345000
12,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,12968,Paved,Moderately Irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Norm,Norm,1Fam,One story,Average,Above Average,1962,1962,Hip,Standard (Composite) Shingle,Hard Board,Plywood,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,737,Unfinished,0,175,912,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,912,0,0,912,1,0,1,0,2,1,Typical/Average,4,Typical Functionality,0,No,Detached from home,1962.0,Unfinished,1,352,Typical/Average,Typical/Average,Paved,140,0,0,0,176,0,No,No,No,0,Sep,2008,Warranty Deed - Conventional,Normal Sale,144000
13,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,91,10652,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Norm,Norm,1Fam,One story,Good,Average,2006,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,306,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,Unfinished,0,1494,1494,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1494,0,0,1494,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2006.0,Rough Finished,3,840,Typical/Average,Typical/Average,Paved,160,33,0,0,0,0,No,No,No,0,Aug,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),279500
14,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,10920,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Above Average,Average,1960,1960,Hip,Standard (Composite) Shingle,Metal Siding,MetalSd,212,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,733,Unfinished,0,520,1253,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1253,0,0,1253,1,0,1,1,2,1,Typical/Average,5,Typical Functionality,1,Fair - Prefabricated Fireplace in the basement,Attached to the home,1960.0,Rough Finished,1,352,Typical/Average,Typical/Average,Paved,0,213,176,0,0,0,No,Good Wood,No,0,May,2008,Warranty Deed - Conventional,Normal Sale,157000
15,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,51,6120,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Brookside,Norm,Norm,1Fam,One and one-half story&2nd level unfinished,Good,Very Good,1929,2001,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,832,832,Gas forced warm air furnace,Excellent,Y,Fuse Box over 60 AMP and all Romex wiring (Average),854,0,0,854,0,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1991.0,Unfinished,2,576,Typical/Average,Typical/Average,Paved,48,112,0,0,0,0,No,Good Privacy,No,0,Jul,2007,Warranty Deed - Conventional,Normal Sale,132000
16,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,11241,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Above Average,Good,1970,1970,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,180,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,578,Unfinished,0,426,1004,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1004,0,0,1004,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1970.0,Finished,2,480,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,Shed (over 100 SF),700,Mar,2010,Warranty Deed - Conventional,Normal Sale,149000
17,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,72,10791,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Norm,Norm,Duplex,One story,Below Average,Average,1967,1967,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,Slab,No,No,No Exposure,No,0,No,0,0,0,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1296,0,0,1296,0,0,2,0,2,2,Typical/Average,6,Typical Functionality,0,No,Car Port,1967.0,Unfinished,2,516,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,Shed (over 100 SF),500,Oct,2006,Warranty Deed - Conventional,Normal Sale,90000
18,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,66,13695,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,SawyerW,RRAe,Norm,1Fam,One story,Average,Average,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,PConc,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,646,Unfinished,0,468,1114,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1114,0,0,1114,1,0,1,1,3,1,Good,6,Typical Functionality,0,No,Detached from home,2004.0,Unfinished,2,576,Typical/Average,Typical/Average,Paved,0,102,0,0,0,0,No,No,No,0,Jun,2008,Warranty Deed - Conventional,Normal Sale,159000
19,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7560,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Average,Above Average,1958,1965,Hip,Standard (Composite) Shingle,Brick Face,Plywood,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,504,Unfinished,0,525,1029,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1339,0,0,1339,0,0,1,0,3,1,Typical/Average,6,Minor Deductions 1,0,No,Attached to the home,1958.0,Unfinished,1,294,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,Minimum Privacy,No,0,May,2009,Court Officer Deed/Estate,"Abnormal Sale - trade, foreclosure, short sale",139000
20,2-STORY 1946 & NEWER,Residential Low-Density,101,14215,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Northridge Heights,Norm,Norm,1Fam,Two-story,Very Good,Average,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,380,Gd,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,Unfinished,0,1158,1158,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1158,1218,0,2376,0,0,3,1,4,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2005.0,Rough Finished,3,853,Typical/Average,Typical/Average,Paved,240,154,0,0,0,0,No,No,No,0,Nov,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),325300
21,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,57,7449,Paved,Regular,Bnk,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Norm,Norm,1Fam,One and one-half story&2nd level unfinished,Good,Good,1930,1950,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,PConc,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,637,637,Gas forced warm air furnace,Excellent,Y,60 AMP Fuse Box and mostly Romex wiring (Fair),1108,0,0,1108,0,0,1,0,3,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1930.0,Unfinished,1,280,Typical/Average,Typical/Average,Dirt/Gravel,0,0,205,0,0,0,No,Good Privacy,No,0,Jun,2007,Warranty Deed - Conventional,Normal Sale,139400
22,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,9742,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Norm,Norm,1Fam,One story,Very Good,Average,2002,2002,Hip,Standard (Composite) Shingle,Vinyl Siding,VinylSd,281,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1777,1777,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1795,0,0,1795,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2002.0,Rough Finished,2,534,Typical/Average,Typical/Average,Paved,171,159,0,0,0,0,No,No,No,0,Sep,2008,Warranty Deed - Conventional,Normal Sale,230000
23,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,44,4224,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Meadow Village,Norm,Norm,TwnhsE,One story,Average,Good,1976,1976,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,0,TA,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,840,Unfinished,0,200,1040,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1060,0,0,1060,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1976.0,Unfinished,2,572,Typical/Average,Typical/Average,Paved,100,110,0,0,0,0,No,No,No,0,Jun,2007,Warranty Deed - Conventional,Normal Sale,129900
24,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8246,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Norm,Norm,1Fam,One story,Average,Very Good,1968,2001,Gable,Standard (Composite) Shingle,Plywood,Plywood,0,TA,Good,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Average Rec Room,188,Average Living Quarters,668,204,1060,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1060,0,0,1060,1,0,1,0,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1968.0,Unfinished,1,270,Typical/Average,Typical/Average,Paved,406,90,0,0,0,0,No,Minimum Privacy,No,0,May,2010,Warranty Deed - Conventional,Normal Sale,154000
25,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,110,14230,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Northridge Heights,Norm,Norm,1Fam,One story,Very Good,Average,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,640,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1566,1566,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1600,0,0,1600,0,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2007.0,Rough Finished,3,890,Typical/Average,Typical/Average,Paved,0,56,0,0,0,0,No,No,No,0,Jul,2009,Warranty Deed - Conventional,Normal Sale,256300
26,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,7200,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Average,Good,1951,2000,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Below Average Living Quarters,234,Average Rec Room,486,180,900,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,900,0,0,900,0,1,1,0,3,1,Good,5,Typical Functionality,0,No,Detached from home,2005.0,Unfinished,2,576,Typical/Average,Typical/Average,Paved,222,32,0,0,0,0,No,No,No,0,May,2010,Warranty Deed - Conventional,Normal Sale,134800
27,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,98,11478,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Norm,Norm,1Fam,One story,Very Good,Average,2007,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,200,Gd,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,1218,Unfinished,0,486,1704,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1704,0,0,1704,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2008.0,Rough Finished,3,772,Typical/Average,Typical/Average,Paved,0,50,0,0,0,0,No,No,No,0,May,2010,Warranty Deed - Conventional,Normal Sale,306000
28,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,47,16321,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Average,Above Average,1957,1997,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Below Average Living Quarters,1277,Unfinished,0,207,1484,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1600,0,0,1600,1,0,1,0,2,1,Typical/Average,6,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1957.0,Rough Finished,1,319,Typical/Average,Typical/Average,Paved,288,258,0,0,0,0,No,No,No,0,Dec,2006,Warranty Deed - Conventional,Normal Sale,207500
29,1-STORY 1945 & OLDER,Residential Medium Density,60,6324,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Feedr,RRNn,1Fam,One story,Below Average,Above Average,1927,1950,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,520,520,Gas forced warm air furnace,Fair,N,Standard Circuit Breakers & Romex,520,0,0,520,0,0,1,0,1,1,Fair,4,Typical Functionality,0,No,Detached from home,1920.0,Unfinished,1,240,Fair,Typical/Average,Paved,49,0,87,0,0,0,No,No,No,0,May,2008,Warranty Deed - Conventional,Normal Sale,68500
